#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;x
# Events ; REMOVE HASH FOR ACTIVE EVENTS AND OPTIONS;;;;;;;;;;;;;x
##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;x
#ANG;Angola;;;;;;;;;;;;;x
EVTNAME6012;The Beninese War;;;;;;;;;;;;;x
EVTDESC6012;Armed groups of rebel militias continue to terrorize the population in Benin. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Benin. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6012;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6012;Crush the rebel scum! Benin is ours!;;;;;;;;;;;;;x
EVTNAME6013;The Beninese War;;;;;;;;;;;;;x
EVTDESC6013;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6013;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6013;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#BKN;Burkina Faso;;;;;;;;;;;;;x
EVTNAME6020;The Burkinabe Independence;;;;;;;;;;;;;x
EVTDESC6020;From the demands of burkinabe intellectuals to the recent popular uprisings, the nationalist sentiment in Burkina Faso is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Burkina Faso is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6020;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6020;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6020;Burkina Faso is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6021;The Burkinabe Independence;;;;;;;;;;;;;x
EVTDESC6021;The burkinabe government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6021;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6021;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6022;The Burkinabe War;;;;;;;;;;;;;x
EVTDESC6022;Armed groups of rebel militias continue to terrorize the population in Burkina Faso. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Burkina Faso. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6022;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6022;Crush the rebel scum! Burkina Faso is ours!;;;;;;;;;;;;;x
EVTNAME6023;The Burkinabe War;;;;;;;;;;;;;x
EVTDESC6023;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6023;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6023;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#BOT;Botswana;;;;;;;;;;;;;x
EVTNAME6030;The Batswana Independence;;;;;;;;;;;;;x
EVTDESC6030;From the demands of batswana intellectuals to the recent popular uprisings, the nationalist sentiment in Botswana is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Botswana is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6030;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6030;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6030;Botswana is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6031;The Batswana Independence;;;;;;;;;;;;;x
EVTDESC6031;The batswana government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6031;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6031;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6032;The Batswana War;;;;;;;;;;;;;x
EVTDESC6032;Armed groups of rebel militias continue to terrorize the population in Botswana. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Botswana. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6032;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6032;Crush the rebel scum! Botswana is ours!;;;;;;;;;;;;;x
EVTNAME6033;The Batswana War;;;;;;;;;;;;;x
EVTDESC6033;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6033;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTA6033;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#BRD;Burundi;;;;;;;;;;;;;x
EVTNAME6040;The Burundian Independence;;;;;;;;;;;;;x
EVTDESC6040;From the demands of burundian intellectuals to the recent popular uprisings, the nationalist sentiment in Burundi is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Burundi is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6040;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6040;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6040;Burundi is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6041;The Burundian Independence;;;;;;;;;;;;;x
EVTDESC6041;The burundian government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6041;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6041;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6042;The Burundian War;;;;;;;;;;;;;x
EVTDESC6042;Armed groups of rebel militias continue to terrorize the population in Burundi. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Burundi. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6042;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6042;Crush the rebel scum! Burundi is ours!;;;;;;;;;;;;;x
EVTNAME6043;The Burundian War;;;;;;;;;;;;;x
EVTDESC6043;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6043;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6043;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#CAM;Cameroon;;;;;;;;;;;;;x
EVTNAME6050;The Cameroonian Independence;;;;;;;;;;;;;x
EVTDESC6050;From the demands of cameroonian intellectuals to the recent popular uprisings, the nationalist sentiment in Cameroon is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Cameroon is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6050;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6050;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6050;Cameroon is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6051;The Cameroonian Independence;;;;;;;;;;;;;x
EVTDESC6051;The cameroonian government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6051;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6051;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6052;The Cameroonian War;;;;;;;;;;;;;x
EVTDESC6052;Armed groups of rebel militias continue to terrorize the population in Cameroon. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Cameroon. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6052;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6052;Crush the rebel scum! Cameroon is ours!;;;;;;;;;;;;;x
EVTNAME6053;The Cameroonian War;;;;;;;;;;;;;x
EVTDESC6053;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6053;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6053;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#CAR;Central African Republic;;;;;;;;;;;;;x
EVTNAME6060;The Central African Independence;;;;;;;;;;;;;x
EVTDESC6060;From the demands of central african intellectuals to the recent popular uprisings, the nationalist sentiment in Central Africa is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Central Africa is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6060;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6060;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6060;Central Africa is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6061;The Central African Independence;;;;;;;;;;;;;x
EVTDESC6061;The central african government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6061;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6061;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6062;The Central African War;;;;;;;;;;;;;x
EVTDESC6062;Armed groups of rebel militias continue to terrorize the population in Central Africa. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Central Africa. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6062;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6062;Crush the rebel scum! Central Africa is ours!;;;;;;;;;;;;;x
EVTNAME6063;The Central African War;;;;;;;;;;;;;x
EVTDESC6063;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6063;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6063;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#CDI;Ivory Coast;;;;;;;;;;;;;x
EVTNAME6070;The Ivorian Independence;;;;;;;;;;;;;x
EVTDESC6070;From the demands of ivorian intellectuals to the recent popular uprisings, the nationalist sentiment in Ivory Coast is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Ivory Coast is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6070;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6070;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6070;Ivory Coast is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6071;The Ivorian Independence;;;;;;;;;;;;;x
EVTDESC6071;The ivorian government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6071;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6071;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6072;The Ivorian War;;;;;;;;;;;;;x
EVTDESC6072;Armed groups of rebel militias continue to terrorize the population in Ivory Coast. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Ivory Coast. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6072;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6072;Crush the rebel scum! Ivory Coast is ours!;;;;;;;;;;;;;x
EVTNAME6073;The Ivorian War;;;;;;;;;;;;;x
EVTDESC6073;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6073;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTA6073;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#CHA;Chad;;;;;;;;;;;;;x
EVTNAME6080;The Chadian Independence;;;;;;;;;;;;;x
EVTDESC6080;From the demands of chadian intellectuals to the recent popular uprisings, the nationalist sentiment in Chad is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Chad is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6080;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6080;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6080;Chad is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6081;The Chadian Independence;;;;;;;;;;;;;x
EVTDESC6081;The chadian government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6081;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6081;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6082;The Chadian War;;;;;;;;;;;;;x
EVTDESC6082;Armed groups of rebel militias continue to terrorize the population in Chad. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Chad. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6082;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6082;Crush the rebel scum! Chad is ours!;;;;;;;;;;;;;x
EVTNAME6083;The Chadian War;;;;;;;;;;;;;x
EVTDESC6083;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6083;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6083;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#CNG;Republic of the Congo;;;;;;;;;;;;;x
EVTNAME6090;The Congolese Independence;;;;;;;;;;;;;x
EVTDESC6090;From the demands of congolese intellectuals to the recent popular uprisings, the nationalist sentiment in Congo is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Congo is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6090;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6090;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6090;Congo is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6091;The Congolese Independence;;;;;;;;;;;;;x
EVTDESC6091;The congolese government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6091;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6091;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6092;The Congolese War;;;;;;;;;;;;;x
EVTDESC6092;Armed groups of rebel militias continue to terrorize the population in Congo. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Congo. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6092;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6092;Crush the rebel scum! Congo is ours!;;;;;;;;;;;;;x
EVTNAME6093;The Congolese War;;;;;;;;;;;;;x
EVTDESC6093;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6093;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6093;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#COM;Comoros;;;;;;;;;;;;;x
EVTNAME6100;The Comoran Independence;;;;;;;;;;;;;x
EVTDESC6100;From the demands of comoran intellectuals to the recent popular uprisings, the nationalist sentiment in Comoros is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Comoros is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6100;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6100;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6100;Comoros is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6101;The Comoran Independence;;;;;;;;;;;;;x
EVTDESC6101;The comoran government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6101;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6101;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6102;The Comoran War;;;;;;;;;;;;;x
EVTDESC6102;Armed groups of rebel militias continue to terrorize the population in Comoros. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Comoros. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6102;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6102;Crush the rebel scum! Comoros is ours!;;;;;;;;;;;;;x
EVTNAME6103;The Comoran War;;;;;;;;;;;;;x
EVTDESC6103;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6103;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6103;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#CPV;Cape Verde;;;;;;;;;;;;;x
EVTNAME6110;The Cape Verdean Independence;;;;;;;;;;;;;x
EVTDESC6110;From the demands of cape verdean intellectuals to the recent popular uprisings, the nationalist sentiment in Cape Verde is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Cape Verde is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6110;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6110;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6110;Cape Verde is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6111;The Cape Verdean Independence;;;;;;;;;;;;;x
EVTDESC6111;The cape verdean government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6111;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6111;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6112;The Cape Verdean War;;;;;;;;;;;;;x
EVTDESC6112;Armed groups of rebel militias continue to terrorize the population in Cape Verde. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Cape Verde. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6112;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6112;Crush the rebel scum! Cape Verde is ours!;;;;;;;;;;;;;x
EVTNAME6113;The Cape Verdean War;;;;;;;;;;;;;x
EVTDESC6113;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6113;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6113;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#DJI;Djibouti;;;;;;;;;;;;;x
EVTNAME6120;The Djiboutian Independence;;;;;;;;;;;;;x
EVTDESC6120;From the demands of djiboutian intellectuals to the recent popular uprisings, the nationalist sentiment in Djibouti is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Djibouti is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6120;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6120;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6120;Djibouti is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6121;The Djiboutian Independence;;;;;;;;;;;;;x
EVTDESC6121;The djiboutian government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6121;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6121;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6122;The Djiboutian War;;;;;;;;;;;;;x
EVTDESC6122;Armed groups of rebel militias continue to terrorize the population in Djibouti. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Djibouti. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6122;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6122;Crush the rebel scum! Djibouti is ours!;;;;;;;;;;;;;x
EVTNAME6123;The Djiboutian War;;;;;;;;;;;;;x
EVTDESC6123;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6123;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
