EVTDESC303003;The Organization of American States (OAS), in an emergency meeting, has summoned us and the Hondurans to the bargaining table to negotiate an end to the war. The best deal we can get at the moment is this: in exchange for a ceasefire and withdrawal of Salvadoran troops from Honduran territory, Honduras agrees to repatriate its Salvadoran population back to El Salvador. Rejecting these terms means risking OAS sanctions and alienating the less bellicose segments of our population.;;;;;;;;;;;;;x;
EVTOPTA303003;Sign on the dotted line;;;;;;;;;;;;;x;
EVTOPTB303003;These terms are unacceptable!;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;;x
#OAS;;;;;;;;;;;;;;;x
#EVTNAMEXXXXXX;OAS Votes to Stop the War;;;;;;;;;;;;;;x
#EVTDESCXXXXXX;;;;;;;;;;;;;;;x
#EVTOPTAXXXXXX;The OAS has spoken.;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;;x
# Modifiers ;;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;;x
#HON;;;;;;;;;;;;;;;x
pmod_salvadoran_immigration;Immigration from El Salvador;;;;;;;;;;;;;;x
mod_salvadoran_immigration_delay;Salvadoran Immigration Delay;;;;;;;;;;;;;;x
pmod_land_reform;Honduran Land Reform;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;;x
